id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45983438,Cosy Flat at the ♡ of the Old Town,372754026,Dan-Pass The Keys,,"Canongate, Southside and Dumbiedykes",55.95072,-3.18254,Entire home/apt,132,1,36,2022-10-03,1.64,1,140,15,
45986322,"Coburg Street - Ideal 3BR in Leith, 25-min to Princes St w parking",87762710,Denise,,The Shore and Constitution Street,55.9764,-3.17439,Entire home/apt,135,1,52,2022-12-12,2.10,34,87,37,
45990481,Modern Double / Twin Room with en-suite,396590105,Dayna,,Broughton South,55.96166,-3.1805,Private room,98,1,11,2022-11-01,1.03,10,174,11,
45090358,Central quiet traditional Victorian 2 bedroom flat,10630510,Sean,,Broughton North and Powderhall,55.962486,-3.196341,Entire home/apt,127,2,60,2022-12-12,3.80,1,145,46,
45100282,Newly renovated centrally located modern rental,22519407,Eoghan,,Deans Village,55.9477,-3.22185,Entire home/apt,1000,8,0,,,1,87,0,
45132461,*** Newly refurbished entire apt in fabulous loc.,134858780,Eve,,Canonmills and New Town North,55.96222,-3.19667,Entire home/apt,85,3,88,2022-11-28,3.22,2,109,51,
45186788,Edinburgh Silvermills,51786228,Margaret,,Canonmills and New Town North,55.95875,-3.20314,Entire home/apt,101,1,26,2022-11-28,1.78,1,315,22,
38207843,"Elegant and Spacious 3 Bed Apt, Heart of the City!",290155775,Chrid,,"Old Town, Princes Street and Leith Street",55.94879,-3.18692,Entire home/apt,120,2,11,2020-09-13,0.28,1,0,0,
45191327,Central Meadows Double Room,15821706,Suzanne,,Meadows and Southside,55.94176,-3.20282,Private room,26,3,2,2020-10-31,0.07,2,0,0,
45203209,Artistic colony house old world charm - bluebells,7477169,Kate,,Western Harbour and Leith Docks,55.9702,-3.15948,Private room,52,1,71,2022-12-10,2.58,1,81,61,
46017943,Live in the heart of the Old Town,224444157,Sue And Grant,,"Old Town, Princes Street and Leith Street",55.95087,-3.1901,Entire home/apt,120,3,92,2022-12-10,3.68,27,35,64,
46030587,Spacious city centre apartment with stunning views,373103942,Molly,,"Old Town, Princes Street and Leith Street",55.95503,-3.19234,Entire home/apt,220,3,37,2022-08-11,1.43,1,16,9,
46097406,Modern Single Room with En-suite,372809473,John,,Broughton South,55.96281,-3.18031,Private room,74,1,10,2022-12-06,0.68,7,209,6,
46112052,The Shore South Queensferry,373696458,Denise,,Queensferry East,55.99048,-3.40066,Entire home/apt,206,2,40,2022-11-27,2.02,2,309,17,
45229844,"Beautiful apartment close to festival, cafes, park",365387549,Steven,,Bruntsfield,55.93801,-3.20902,Entire home/apt,171,2,5,2022-08-29,1.16,2,136,5,
45280262,New Town Apartment with Super Views,236828,Francois,,New Town West,55.95455,-3.1995,Entire home/apt,104,3,18,2022-10-25,1.03,15,0,14,
45295053,2 BEDROOM GARDEN APART. CLOSE TO ALL ATTRACTIONS,364678915,Mark,,Hillside and Calton Hill,55.95922,-3.18264,Entire home/apt,157,2,36,2022-11-13,1.39,2,208,22,
45323980,Newly refurbished city centre chic pad,3008499,Rebecca,,"Old Town, Princes Street and Leith Street",55.95618,-3.19077,Entire home/apt,93,1,137,2022-12-08,5.11,67,299,68,
46134054,Modern Family Room with En-suite,372809473,John,,Leith (Albert Street),55.96274,-3.17853,Private room,124,1,4,2022-05-23,0.25,7,235,1,
46134155,Modern Family Room with En-suite and Disability Ac,372809473,John,,Leith (Albert Street),55.96085,-3.17831,Private room,124,1,9,2022-11-04,0.58,7,252,4,
